coverage,risk_1_minus_dice
0.003401360544217687,0.0
0.006802721088435374,0.0
0.01020408163265306,0.0
0.013605442176870748,0.0
0.017006802721088437,0.0
0.02040816326530612,0.0
0.023809523809523808,0.0
0.027210884353741496,0.0
0.030612244897959183,0.11111111110414051
0.034013605442176874,0.09999999999372644
0.03741496598639456,0.18181818180615672
0.04081632653061224,0.16666666665564367
0.04421768707482993,0.15384615383597877
0.047619047619047616,0.14285714284769457
0.05102040816326531,0.1333333333245149
0.05442176870748299,0.12499999999173272
0.05782312925170068,0.11764705881574844
0.061224489795918366,0.11111111110376248
0.06462585034013606,0.10526315788777507
0.06802721088435375,0.09999999999338627
0.07142857142857142,0.0952380952317965
0.07482993197278912,0.13636363635676707
0.0782312925170068,0.13043478260212493
0.08163265306122448,0.12499999999370315
0.08503401360544217,0.1599999999867865
0.08843537414965986,0.15384615383344857
0.09183673469387756,0.14814814813591337
0.09523809523809523,0.17857142855489416
0.09863945578231292,0.17241379308748395
0.10204081632653061,0.19999999997623452
0.1054421768707483,0.22580645158922286
0.10884353741496598,0.24999999997597433
0.11224489795918367,0.24242424240094484
0.11564625850340136,0.264705882326272
0.11904761904761904,0.28571428568814494
0.12244897959183673,0.30555555552857505
0.12585034013605442,0.29729729727104603
0.1292517006802721,0.2977730722730423
0.1326530612244898,0.2901378652916822
0.1360544217687075,0.2847382322186467
0.13945578231292516,0.302183641187344
0.14285714285714285,0.3187983163954793
0.14625850340136054,0.3113844020607007
0.14965986394557823,0.3270347565590348
0.15306122448979592,0.3250671264846172
0.1564625850340136,0.32710041306610815
0.1598639455782313,0.34141742555276444
0.16326530612244897,0.3349691066885897
0.16666666666666666,0.3485411657349663
0.17006802721088435,0.36157034241751973
0.17346938775510204,0.3740885709963907
0.17687074829931973,0.3688032138618209
0.18027210884353742,0.36488137201258497
0.1836734693877551,0.35880802963864566
0.1870748299319728,0.3704660654628874
0.19047619047619047,0.3732686592280867
0.19387755102040816,0.36672008625917296
0.19727891156462585,0.36147896589198425
0.20068027210884354,0.35841720605621763
0.20408163265306123,0.3691102526217169
0.20748299319727892,0.3635143476779633
0.2108843537414966,0.3737802452952874
0.21428571428571427,0.3700289543182501
0.21768707482993196,0.36540800238841853
0.22108843537414966,0.360601140951895
0.22448979591836735,0.3560158826369073
0.22789115646258504,0.35182727850042506
0.23129251700680273,0.34733796401469264
0.23469387755102042,0.34616087521611016
0.23809523809523808,0.35044234228988225
0.24149659863945577,0.3459866225717054
0.24489795918367346,0.3550701417015364
0.24829931972789115,0.3516188879944856
0.25170068027210885,0.3480732388593233
0.25510204081632654,0.34528760266460656
0.2585034013605442,0.35390223947015764
0.2619047619047619,0.3622931194510647
0.2653061224489796,0.358832711546647
0.2687074829931973,0.3562337283092444
0.272108843537415,0.35380158316879984
0.2755102040816326,0.3613432796033844
0.2789115646258503,0.3601742391220808
0.282312925170068,0.35637705365559635
0.2857142857142857,0.353775245560804
0.2891156462585034,0.3501583615631577
0.2925170068027211,0.3466174068436967
0.29591836734693877,0.3446588129906173
0.29931972789115646,0.3419827702798479
0.30272108843537415,0.3493762222717707
0.30612244897959184,0.346204186650352
0.30952380952380953,0.3429678244256965
0.3129251700680272,0.34005049618332817
0.3163265306122449,0.339175424099017
0.3197278911564626,0.33582349412053947
0.3231292517006803,0.3322885099719022
0.32653061224489793,0.3392438379916559
0.3299319727891156,0.3359565880816219
0.3333333333333333,0.3348952649913003
0.336734693877551,0.3416134946373144
0.3401360544217687,0.3388217665992671
0.3435374149659864,0.3453680857417638
0.3469387755102041,0.3419821241168446
0.35034013605442177,0.3391662519541696
0.35374149659863946,0.3455204226077411
0.35714285714285715,0.34725613456218285
0.36054421768707484,0.3445418306399807
0.36394557823129253,0.34148550500462715
0.3673469387755102,0.3399661111083382
0.3707482993197279,0.3460214678868335
0.3741496598639456,0.3438621929026022
0.37755102040816324,0.34114180909316083
0.38095238095238093,0.3384152751032975
0.3843537414965986,0.3356738264647481
0.3877551020408163,0.34150124903938506
0.391156462585034,0.33887077566225543
0.3945578231292517,0.33763584898349985
0.3979591836734694,0.33508371306081397
0.4013605442176871,0.33249501819386795
0.40476190476190477,0.3299041609530444
0.40816326530612246,0.32785213433975047
0.41156462585034015,0.3334070753781003
0.41496598639455784,0.338804176075315
0.41836734693877553,0.33652770651908626
0.4217687074829932,0.3340324892101706
0.42517006802721086,0.3320238751661244
0.42857142857142855,0.33732527298206827
0.43197278911564624,0.33512818527026533
0.43537414965986393,0.332855977429515
0.4387755102040816,0.33664008936213297
0.4421768707482993,0.3342517597310811
0.445578231292517,0.33544996168895136
0.4489795918367347,0.33699235253320703
0.4523809523809524,0.33469663140142436
0.4557823129251701,0.3396615819132548
0.45918367346938777,0.33726799380911787
0.46258503401360546,0.33504223374710373
0.46598639455782315,0.33284375250397813
0.46938775510204084,0.3304318412539493
0.47278911564625853,0.32894840178894136
0.47619047619047616,0.3337416274902204
0.47959183673469385,0.33220147450707826
0.48299319727891155,0.3310327103834214
0.48639455782312924,0.3289382331649501
0.4897959183673469,0.3269673028324447
0.4931972789115646,0.3275266988783285
0.4965986394557823,0.3265819259640925
0.5,0.3248598902495786
0.5034013605442177,0.32929527703308625
0.5068027210884354,0.3337966510126732
0.5102040816326531,0.33157134000592203
0.5136054421768708,0.3342803642822616
0.5170068027210885,0.3362725072323397
0.5204081632653061,0.33864740163714047
0.5238095238095238,0.3390142121611648
0.5272108843537415,0.3385039453522807
0.5306122448979592,0.33660636380873876
0.5340136054421769,0.33489980904576333
0.5374149659863946,0.33910930392425276
0.5408163265306123,0.34016001798435913
0.54421768707483,0.3442840178706357
0.5476190476190477,0.34328116983889845
0.5510204081632653,0.3412779781239278
