xai_method,correct_mean,incorrect_mean,delta,wilcoxon_p,bonferroni_p,significant
gradcam,0.32869426030951343,0.30923664085246805,0.019457619457045383,0.5641172038388085,1.0,False
gradcam_pp,0.4672353432564063,0.4236859725470405,0.04354937070936582,0.1817862778120447,1.0,False
scorecam,0.44903361548361415,0.36402838132612203,0.08500523415749212,0.015781536229612717,0.0946892173776763,False
eigencam,0.5792918467430901,0.5801917839597149,-0.0008999372166248465,0.8251325716737661,1.0,False
saliency,0.08827979665630595,0.0806043194134359,0.0076754772428700435,0.24256270669175684,1.0,False
integrated_gradients,0.06376387028088318,0.06975092662369595,-0.005987056342812769,0.4507921222503074,1.0,False
