class_label,sc,cc,wcis,exbale,flag_rate
0,0.1878767954024082,0.6640931832765868,0.3481534310748982,0.27011637036363906,0.25392156862745097
1,0.12119067761157418,0.6947790868822019,0.2714508720170292,0.21039426986981766,0.2604166666666667
2,0.14735154971914483,0.6225197042906578,0.294418093481316,0.23381543260339446,0.3004975124378109
3,0.14276546948296012,0.736136619571691,0.30268079521677765,0.24314332779882034,0.2015151515151515
4,0.18829353214359393,0.5671275504121458,0.3485468469176946,0.24295009808003862,0.31875
5,0.23484064068501093,0.5751638970725994,0.3978582203371909,0.275791743165861,0.2536231884057971
6,0.17187197268180077,0.7608836496249154,0.34436824351966305,0.27773028643124104,0.175
7,0.21535473692301518,0.6499116755912705,0.359824526278923,0.2841400432069793,0.23333333333333334
