Backbone,Alpha,Temperature,ECE_Pre,ECE_Post,Marginal_Coverage,Avg_Set_Size,Singleton_Rate,AURC_Softmax,AURC_MC_Dropout
densenet121,0.05,0.6318621039390564,0.1854741905822235,0.06521551138689728,0.9693877551020408,5.782312925170068,0.034013605442176874,0.13592365685521746,0.13703772118666427
densenet121,0.1,0.6318621039390564,0.1854741905822235,0.06521551138689728,0.95578231292517,5.14625850340136,0.05102040816326531,0.13592365685521746,0.13703772118666427
densenet121,0.2,0.6318621039390564,0.1854741905822235,0.06521551138689728,0.9251700680272109,4.122448979591836,0.13945578231292516,0.13592365685521746,0.13703772118666427
resnet50,0.05,0.5950567722320557,0.1912296176666305,0.07867988107763994,0.9761904761904762,5.925170068027211,0.034013605442176874,0.1250776814158841,0.13653807270228702
resnet50,0.1,0.5950567722320557,0.1912296176666305,0.07867988107763994,0.9523809523809523,4.914965986394558,0.061224489795918366,0.1250776814158841,0.13653807270228702
resnet50,0.2,0.5950567722320557,0.1912296176666305,0.07867988107763994,0.9251700680272109,3.82312925170068,0.20068027210884354,0.1250776814158841,0.13653807270228702
efficientnet_b3,0.05,0.7288007736206055,0.11238493856524125,0.05005182675561126,0.9727891156462585,6.170068027210885,0.030612244897959183,0.13765820549146018,0.14799481577718945
efficientnet_b3,0.1,0.7288007736206055,0.11238493856524125,0.05005182675561126,0.9489795918367347,4.901360544217687,0.06462585034013606,0.13765820549146018,0.14799481577718945
efficientnet_b3,0.2,0.7288007736206055,0.11238493856524125,0.05005182675561126,0.9217687074829932,3.860544217687075,0.16326530612244897,0.13765820549146018,0.14799481577718945
mobilenet_v3_large,0.05,0.637622594833374,0.18167115190402183,0.0870290325612438,0.9829931972789115,6.333333333333333,0.027210884353741496,0.1596550481602288,0.17011145804797834
mobilenet_v3_large,0.1,0.637622594833374,0.18167115190402183,0.0870290325612438,0.9387755102040817,5.017006802721088,0.07142857142857142,0.1596550481602288,0.17011145804797834
mobilenet_v3_large,0.2,0.637622594833374,0.18167115190402183,0.0870290325612438,0.9285714285714286,4.119047619047619,0.14285714285714285,0.1596550481602288,0.17011145804797834
swin_t,0.05,0.7237427830696106,0.13468800951428966,0.04637915027790328,0.9965986394557823,6.207482993197279,0.023809523809523808,0.11578109161940747,0.11960290933577572
swin_t,0.1,0.7237427830696106,0.13468800951428966,0.04637915027790328,0.9523809523809523,4.496598639455782,0.1054421768707483,0.11578109161940747,0.11960290933577572
swin_t,0.2,0.7237427830696106,0.13468800951428966,0.04637915027790328,0.935374149659864,3.435374149659864,0.25510204081632654,0.11578109161940747,0.11960290933577572
