epoch,train_loss,val_loss,val_dice,val_iou,lr,skipped_batches_train,skipped_batches_val,elapsed_s
86,0.007095,0.351684,0.647509,0.598015,6.97e-06,0,0,101.7
87,0.007663,0.355542,0.643007,0.593679,6.21e-06,0,0,103.2
88,0.007041,0.35876,0.644057,0.59501,5.50e-06,0,0,102.2
89,0.007086,0.349594,0.640668,0.591245,4.85e-06,0,0,101.4
90,0.007547,0.352458,0.643081,0.592964,4.24e-06,0,0,102.2
91,0.006641,0.354221,0.648826,0.598928,3.68e-06,0,0,101.5
92,0.0073,0.361715,0.64806,0.598786,3.18e-06,0,0,101.0
93,0.007375,0.354294,0.645832,0.596021,2.72e-06,0,0,101.7
94,0.006555,0.359118,0.64761,0.597721,2.32e-06,0,0,102.0
95,0.007056,0.367724,0.643981,0.594897,1.97e-06,0,0,101.0
96,0.00651,0.364848,0.642204,0.593005,1.68e-06,0,0,102.8
97,0.006498,0.366521,0.648334,0.599145,1.43e-06,0,0,101.1
98,0.006632,0.353313,0.641352,0.591478,1.24e-06,0,0,101.3
99,0.006797,0.356028,0.64323,0.593203,1.11e-06,0,0,100.8
100,0.006669,0.360662,0.64783,0.598137,1.03e-06,0,0,101.2
