epoch,train_loss,val_loss,val_dice,val_iou,lr,skipped_batches_train,skipped_batches_val,elapsed_s
86,0.026474,0.382873,0.634849,0.574539,6.97e-06,0,0,88.3
87,0.02736,0.370897,0.646268,0.585685,6.21e-06,0,0,88.4
88,0.02686,0.377357,0.641501,0.580999,5.50e-06,0,0,88.7
89,0.026172,0.362725,0.646087,0.585726,4.85e-06,0,0,89.0
90,0.02611,0.367781,0.650782,0.590116,4.24e-06,0,0,88.3
91,0.026228,0.364968,0.644457,0.582935,3.68e-06,0,0,88.8
92,0.02615,0.363677,0.650934,0.588669,3.18e-06,0,0,88.5
93,0.025906,0.371062,0.647873,0.586682,2.72e-06,0,0,88.6
94,0.026974,0.376586,0.646811,0.585217,2.32e-06,0,0,89.1
95,0.026402,0.377292,0.6397,0.579415,1.97e-06,0,0,88.6
96,0.025625,0.371755,0.645532,0.584059,1.68e-06,0,0,89.0
97,0.026789,0.374432,0.644695,0.584093,1.43e-06,0,0,88.4
98,0.025465,0.365402,0.645433,0.584806,1.24e-06,0,0,88.4
99,0.025609,0.367014,0.6457,0.585562,1.11e-06,0,0,88.5
100,0.028161,0.378696,0.643994,0.583436,1.03e-06,0,0,88.5
