epoch,train_loss,val_loss,val_dice,val_iou,lr,skipped_batches_train,skipped_batches_val,elapsed_s
86,0.034249,0.364905,0.642509,0.581248,6.97e-06,0,0,62.0
87,0.033843,0.35496,0.64256,0.582139,6.21e-06,0,0,61.8
88,0.034227,0.356703,0.652957,0.592345,5.50e-06,0,0,62.0
89,0.034354,0.351231,0.649327,0.589159,4.85e-06,0,0,62.2
90,0.03255,0.355998,0.647006,0.587196,4.24e-06,0,0,61.9
91,0.032107,0.359278,0.650803,0.589779,3.68e-06,0,0,62.1
92,0.034406,0.360543,0.651389,0.591784,3.18e-06,0,0,62.0
93,0.032827,0.352173,0.652385,0.592242,2.72e-06,0,0,62.1
94,0.032953,0.356193,0.651449,0.591436,2.32e-06,0,0,61.9
95,0.035476,0.356934,0.651229,0.591368,1.97e-06,0,0,61.9
96,0.033372,0.346576,0.658607,0.598587,1.68e-06,0,0,62.2
97,0.033035,0.378049,0.645047,0.583422,1.43e-06,0,0,62.2
98,0.032597,0.364513,0.654658,0.593627,1.24e-06,0,0,61.7
99,0.0326,0.355017,0.658998,0.598875,1.11e-06,0,0,62.4
100,0.031714,0.357795,0.65419,0.594163,1.03e-06,0,0,62.0
