coverage,risk_1_minus_dice
0.003401360544217687,0.9999999995145631
0.006802721088435374,0.4999999997572816
0.01020408163265306,0.33333333317152114
0.013605442176870748,0.24999999987864086
0.017006802721088437,0.19999999990291273
0.02040816326530612,0.16666666658576057
0.023809523809523808,0.14285714278779482
0.027210884353741496,0.24999999990807042
0.030612244897959183,0.22222222214050702
0.034013605442176874,0.19999999992645634
0.03741496598639456,0.18181818175132392
0.04081632653061224,0.24999999992766142
0.04421768707482993,0.2307692307024567
0.047619047619047616,0.2142857142237098
0.05102040816326531,0.19999999994212914
0.05442176870748299,0.2499999999418252
0.05782312925170068,0.23529411759230612
0.061224489795918366,0.27777777771840406
0.06462585034013606,0.31578947362430165
0.06802721088435375,0.29999999994308657
0.07142857142857142,0.2857142856600825
0.07482993197278912,0.31818181737250295
0.0782312925170068,0.3478260861814757
0.08163265306122448,0.37499999924978034
0.08503401360544217,0.3599999992797891
0.08843537414965986,0.34615384546133565
0.09183673469387756,0.37037036969936554
0.09523809523809523,0.3571428564958168
0.09863945578231292,0.34482758558216786
0.10204081632653061,0.333333332729429
0.1054421768707483,0.32258064457686675
0.10884353741496598,0.34374999943330065
0.11224489795918367,0.36363636308165703
0.11564625850340136,0.3823529406364209
0.11904761904761904,0.3999999994702873
0.12244897959183673,0.38888888837389046
0.12585034013605442,0.3783783778772989
0.1292517006802721,0.3941341899489432
0.1326530612244898,0.40903804700947255
0.1360544217687075,0.3988120958342357
0.13945578231292516,0.38908497154559585
0.14285714285714285,0.37982104365165303
0.14625850340136054,0.3725450808603611
0.14965986394557823,0.38344309815897404
0.15306122448979592,0.3971443625554413
0.1564625850340136,0.4010976940944825
0.1598639455782313,0.3925637006031105
0.16326530612244897,0.40158475982519304
0.16666666666666666,0.3980466171272379
0.17006802721088435,0.391333297770013
0.17346938775510204,0.39106366066696485
0.17687074829931973,0.40277397486201416
0.18027210884353742,0.41404239042871027
0.1836734693877551,0.4092791702645915
0.1870748299319728,0.4200195489858781
0.19047619047619047,0.4130850952690638
0.19387755102040816,0.40713306463137533
0.19727891156462585,0.417354908301524
0.20068027210884354,0.41154044028215087
0.20408163265306123,0.4054237118118308
0.20748299319727892,0.4007275186083389
